profile_id	scientific_status	feature_block	sampler	model	oof_source	exact_ligand_group_equal_mae	system_equal_mae	mse	rmse	median_absolute_error	r_squared	spearman_rho	pearson_r	calibration_intercept	calibration_slope	versus_dummy_group_equal_mae_delta	bootstrap_95_ci_lower	bootstrap_95_ci_upper	group_equal_mae_delta	bootstrap_probability_delta_below_zero	improved_group_count	tied_group_count	total_group_count	leave_one_group_delta_min	leave_one_group_delta_max	leave_one_group_sign_reversal
dummy_median	EXPERIMENTAL	No_features	not_applicable	dummy_median	REUSED_COMPATIBLE_N31_MATRIX_OOF	0.9656949709162961	0.9416251991481289	1.2134016659615836	1.1015451266115173	0.89279003	-0.10277821198486903	-0.770015896421681	-0.7718912835868916	28.647407180629386	-12.651597439226903	0.0	0.0	0.0	NA	NA	NA	NA	NA	NA	NA	NA
static20_ridge	EXPERIMENTAL	Static20	not_applicable	ridge	NEW_FROZEN_STATIC20_GROUP_LOGO	0.8844635450921537	0.8415137758178909	1.2671845676851377	1.1256929277938712	0.6716375623405642	-0.15165783186824622	0.3242262341308293	0.09286134472968478	1.7665476497406614	0.1899740475904621	-0.08123142582414239	-0.26396425342904856	0.13133527459489008	-0.08123142582414239	0.7964	19.0	0.0	27.0	-0.15743513666414424	-0.05915246875419767	False
static20_random_forest	EXPERIMENTAL	Static20	not_applicable	random_forest	NEW_FROZEN_STATIC20_GROUP_LOGO	0.8500584207384796	0.815543894979106	1.0726548270608616	1.0356905073721887	0.5907607161125792	0.025137013203535008	0.3165641713839565	0.28771202791652867	0.9887609208820869	0.5451999705553737	-0.11563655017781656	-0.2878223998800703	0.07053449947383424	-0.11563655017781656	0.8912	18.0	0.0	27.0	-0.16516871286431728	-0.08446872292776622	False
combined30_p512_ridge	EXPERIMENTAL	Combined30	P512	ridge	REUSED_COMPATIBLE_N31_MATRIX_OOF	0.8181690739107408	0.7873067391861935	0.986452710166302	0.9932032572269898	0.7271205543100001	0.10348025188943177	0.45508620051820997	0.32579934354840134	0.2957313464787654	0.8632298521205979	-0.1475258970055555	-0.2804782486838101	0.0066569174208934	-0.1475258970055555	0.9706	21.0	0.0	27.0	-0.19295830530115377	-0.12741248842115377	False
combined30_p512_random_forest	EXPERIMENTAL	Combined30	P512	random_forest	REUSED_COMPATIBLE_N31_MATRIX_OOF	0.8275287549964815	0.7915330134784514	1.0268970778105793	1.0133593034114698	0.5823121474399999	0.0667231180509269	0.36334308078591687	0.311063250750528	0.778997310626186	0.6423435124766906	-0.13816621591981473	-0.2932587550584443	0.04309319964934693	-0.13816621591981473	0.9314	20.0	0.0	27.0	-0.19190622639288454	-0.1140012297724999	False
